Arrests by Offense,Virginia Beach,
,Adult,Juvenile
Murder,12,0
Manslaughter,1,0
Kidnaping,38,4
"Sex Offenses, Forcible",64,20
Robbery,88,30
Aggravated Assault,118,33
Simple Assault/Intimidation,"2,161",586
Arson,6,29
Extortion/Blackmail,1,11
Burglary,181,83
Larceny,"1,121",565
Motor Vehicle Theft,56,34
Counterfeiting/Forgery,124,0
Fraud,166,1
Embezzlement,83,8
Stolen Property,45,8
Vandalism,228,132
Drug/Narcotic Offenses,1731,259
"Sex Offenses, Nonforcible",5,0
Pornography,4,0
Gambling,1,0
Prostitution,56,0
Bribery,0,0
Weapon Law Violations,174,83
TOTAL GROUP A,"6,464",1886
Bad Checks,178,0
Curfew/Loitering/Vagrancy,42,789
Disorderly Conduct,807,197
Driving Under Influence,2238,17
Drunkenness,3429,25
"Family Offenses, Nonforcible",19,2
Liquor Laws Violations,691,228
Peeping Tom,10,0
Runaway,0,2
Trespass of Real Property,538,149
Conspiracy,0,0
All Other (except Traffic),9531,819
TOTAL GROUP B,17483,2228
GRAND TOTAL,23947,4114
