Arrests by Offense,Madison,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,0,0
"Sex Offenses, Forcible",0,3
Robbery,1,0
Aggravated Assault,2,0
Simple Assault/Intimidation,61,3
Arson,0,0
Extortion/Blackmail,0,0
Burglary,2,2
Larceny,3,
Motor Vehicle Theft,0,0
Counterfeiting/Forgery,0,0
Fraud,0,0
Embezzlement,0,0
Stolen Property,0,0
Vandalism,6,1
Drug/Narcotic Offenses,19,2
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,3,0
TOTAL GROUP A,97,11
Bad Checks,7,0
Curfew/Loitering/Vagrancy,,0
Disorderly Conduct,1,
Driving Under Influence,42,0
Drunkenness,31,0
"Family Offenses, Nonforcible",,
Liquor Laws Violations,2,
Peeping Tom,0,0
Runaway,0,1
Trespass of Real Property,1,0
Conspiracy,0,0
All Other (except Traffic),95,1
TOTAL GROUP B,179,2
GRAND TOTAL,276,13
