Arrests by Offense,Pittsylvania,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,10,0
"Sex Offenses, Forcible",5,1
Robbery,3,2
Aggravated Assault,23,2
Simple Assault/Intimidation,332,11
Arson,1,0
Extortion/Blackmail,0,0
Burglary,25,3
Larceny,43,3
Motor Vehicle Theft,3,2
Counterfeiting/Forgery,4,0
Fraud,4,0
Embezzlement,0,0
Stolen Property,1,0
Vandalism,21,1
Drug/Narcotic Offenses,42,6
"Sex Offenses, Nonforcible",1,0
Pornography,1,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,21,0
TOTAL GROUP A,540,31
Bad Checks,81,0
Curfew/Loitering/Vagrancy,,0
Disorderly Conduct,13,1
Driving Under Influence,138,3
Drunkenness,47,1
"Family Offenses, Nonforcible",8,
Liquor Laws Violations,17,5
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,41,1
Conspiracy,1,0
All Other (except Traffic),412,6
TOTAL GROUP B,758,17
GRAND TOTAL,1298,48
