Arrests by Offense,Clarke,
,Adult,Juvenile
Murder,1,0
Manslaughter,0,0
Kidnaping,0,0
"Sex Offenses, Forcible",1,0
Robbery,0,0
Aggravated Assault,18,4
Simple Assault/Intimidation,12,3
Arson,0,0
Extortion/Blackmail,0,0
Burglary,5,
Larceny,8,1
Motor Vehicle Theft,2,2
Counterfeiting/Forgery,5,0
Fraud,3,0
Embezzlement,1,0
Stolen Property,0,0
Vandalism,4,2
Drug/Narcotic Offenses,31,3
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,1,0
TOTAL GROUP A,92,15
Bad Checks,7,0
Curfew/Loitering/Vagrancy,,0
Disorderly Conduct,2,
Driving Under Influence,66,0
Drunkenness,39,1
"Family Offenses, Nonforcible",,
Liquor Laws Violations,5,3
Peeping Tom,1,0
Runaway,0,0
Trespass of Real Property,9,0
Conspiracy,1,0
All Other (except Traffic),96,11
TOTAL GROUP B,226,15
GRAND TOTAL,318,30
