Arrests by Offense,Lee,
,Adult,Juvenile
Murder,2,0
Manslaughter,0,0
Kidnaping,2,0
"Sex Offenses, Forcible",8,0
Robbery,1,0
Aggravated Assault,30,0
Simple Assault/Intimidation,176,0
Arson,2,0
Extortion/Blackmail,0,0
Burglary,18,
Larceny,98,
Motor Vehicle Theft,6,0
Counterfeiting/Forgery,11,0
Fraud,1,0
Embezzlement,1,0
Stolen Property,0,0
Vandalism,20,0
Drug/Narcotic Offenses,84,1
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,,0
TOTAL GROUP A,460,1
Bad Checks,29,0
Curfew/Loitering/Vagrancy,,0
Disorderly Conduct,6,
Driving Under Influence,119,0
Drunkenness,170,0
"Family Offenses, Nonforcible",1,
Liquor Laws Violations,10,1
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,19,0
Conspiracy,1,0
All Other (except Traffic),446,1
TOTAL GROUP B,801,2
GRAND TOTAL,1261,3
