Arrests by Offense,Montgomery,
,Adult,Juvenile
Murder,2,0
Manslaughter,0,0
Kidnaping,3,0
"Sex Offenses, Forcible",14,0
Robbery,2,7
Aggravated Assault,32,5
Simple Assault/Intimidation,253,12
Arson,5,1
Extortion/Blackmail,0,0
Burglary,42,5
Larceny,170,89
Motor Vehicle Theft,7,0
Counterfeiting/Forgery,12,0
Fraud,22,0
Embezzlement,15,0
Stolen Property,15,0
Vandalism,51,4
Drug/Narcotic Offenses,185,14
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,36,3
TOTAL GROUP A,866,140
Bad Checks,186,0
Curfew/Loitering/Vagrancy,,0
Disorderly Conduct,43,11
Driving Under Influence,434,8
Drunkenness,706,5
"Family Offenses, Nonforcible",2,
Liquor Laws Violations,175,27
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,89,6
Conspiracy,2,0
All Other (except Traffic),1070,28
TOTAL GROUP B,2707,85
GRAND TOTAL,3573,225
