Arrests by Offense,Henry,
,Adult,Juvenile
Murder,5,0
Manslaughter,0,0
Kidnaping,5,0
"Sex Offenses, Forcible",11,2
Robbery,21,0
Aggravated Assault,60,8
Simple Assault/Intimidation,349,32
Arson,5,1
Extortion/Blackmail,0,0
Burglary,42,10
Larceny,117,10
Motor Vehicle Theft,10,3
Counterfeiting/Forgery,33,1
Fraud,12,0
Embezzlement,15,0
Stolen Property,3,0
Vandalism,39,9
Drug/Narcotic Offenses,79,7
"Sex Offenses, Nonforcible",2,0
Pornography,1,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,25,3
TOTAL GROUP A,834,86
Bad Checks,35,0
Curfew/Loitering/Vagrancy,,0
Disorderly Conduct,17,7
Driving Under Influence,153,3
Drunkenness,288,3
"Family Offenses, Nonforcible",4,
Liquor Laws Violations,6,5
Peeping Tom,0,0
Runaway,0,31
Trespass of Real Property,14,1
Conspiracy,0,0
All Other (except Traffic),561,35
TOTAL GROUP B,1078,85
GRAND TOTAL,1912,171
