Arrests by Offense,Rockbridge,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,4,0
"Sex Offenses, Forcible",4,1
Robbery,0,0
Aggravated Assault,6,0
Simple Assault/Intimidation,78,8
Arson,1,0
Extortion/Blackmail,0,0
Burglary,4,2
Larceny,41,7
Motor Vehicle Theft,4,0
Counterfeiting/Forgery,2,1
Fraud,1,0
Embezzlement,3,0
Stolen Property,0,0
Vandalism,7,2
Drug/Narcotic Offenses,52,3
"Sex Offenses, Nonforcible",1,0
Pornography,0,1
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,9,0
TOTAL GROUP A,217,25
Bad Checks,21,0
Curfew/Loitering/Vagrancy,,0
Disorderly Conduct,6,4
Driving Under Influence,113,2
Drunkenness,52,1
"Family Offenses, Nonforcible",1,
Liquor Laws Violations,19,6
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,17,0
Conspiracy,0,0
All Other (except Traffic),101,2
TOTAL GROUP B,330,15
GRAND TOTAL,547,40
