Arrests by Offense,King William,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,0,0
"Sex Offenses, Forcible",1,2
Robbery,3,0
Aggravated Assault,1,1
Simple Assault/Intimidation,82,4
Arson,0,0
Extortion/Blackmail,0,0
Burglary,3,
Larceny,16,7
Motor Vehicle Theft,4,2
Counterfeiting/Forgery,5,0
Fraud,1,0
Embezzlement,0,0
Stolen Property,3,1
Vandalism,2,6
Drug/Narcotic Offenses,54,14
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,8,0
TOTAL GROUP A,183,37
Bad Checks,,0
Curfew/Loitering/Vagrancy,,0
Disorderly Conduct,2,
Driving Under Influence,68,0
Drunkenness,21,1
"Family Offenses, Nonforcible",1,
Liquor Laws Violations,14,2
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,3,0
Conspiracy,0,0
All Other (except Traffic),54,4
TOTAL GROUP B,163,7
GRAND TOTAL,346,44
