Arrests by Offense,Suffolk,
,Adult,Juvenile
Murder,2,0
Manslaughter,0,0
Kidnaping,30,0
"Sex Offenses, Forcible",17,0
Robbery,11,1
Aggravated Assault,39,3
Simple Assault/Intimidation,467,9
Arson,0,0
Extortion/Blackmail,0,0
Burglary,21,1
Larceny,215,12
Motor Vehicle Theft,0,0
Counterfeiting/Forgery,18,0
Fraud,49,0
Embezzlement,11,0
Stolen Property,18,1
Vandalism,34,0
Drug/Narcotic Offenses,110,6
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,,0
Prostitution,2,0
Bribery,0,0
Weapon Law Violations,39,0
TOTAL GROUP A,"1,083",33
Bad Checks,23,0
Curfew/Loitering/Vagrancy,1,62
Disorderly Conduct,33,5
Driving Under Influence,152,3
Drunkenness,65,2
"Family Offenses, Nonforcible",25,
Liquor Laws Violations,21,3
Peeping Tom,1,0
Runaway,0,0
Trespass of Real Property,93,0
Conspiracy,0,0
All Other (except Traffic),836,10
TOTAL GROUP B,1250,85
GRAND TOTAL,2333,118
