COUNTY SHERIFFS & STATE POLICE,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Accomack County SO ,27602,4021.44,1110,2,0,7,2,28,16,351,2,0,123,314,27,14,30,5,2,168,34,1,2,0,2,0,8
State Police ,,,68,0,0,0,0,1,0,5,2,0,0,6,3,1,8,1,1,0,46,0,0,0,0,0,5
Alleghany County SO ,12366,2741.38,339,0,1,2,11,0,6,60,8,0,44,116,11,3,11,0,2,91,24,0,0,0,0,0,7
State Police ,,,96,0,0,0,0,0,0,0,0,0,0,2,1,2,4,0,1,3,86,0,0,0,0,0,4
Amelia County SO ,12690,3152.08,400,1,6,3,5,5,13,144,4,0,47,99,13,2,15,2,0,61,60,0,1,0,0,0,14
State Police ,,,8,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,3,0,0,0,0,0,2
Amherst County SO ,30122,3714.89,1119,0,3,7,18,3,19,160,3,0,54,393,18,11,45,5,1,180,275,1,5,0,0,0,14
State Police ,,,26,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,20,0,0,0,0,0,0
Appomattox County SO ,14973,1556.13,233,8,0,4,5,1,10,38,0,0,22,79,4,6,8,2,0,31,44,1,0,0,0,0,2
State Police ,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
Augusta County SO ,73750,1983.72,1463,2,6,8,18,3,63,204,3,2,161,551,41,20,110,19,4,222,137,9,8,0,1,1,35
State Police ,,,7,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,3,0,0,0,0,0,0
Bath County SO ,4731,1120.27,53,0,0,1,1,0,0,2,0,0,13,23,3,1,4,0,0,3,0,1,0,0,0,0,3
State Police ,,,32,0,0,0,0,0,0,3,1,0,2,8,0,0,1,0,0,2,16,1,0,0,0,0,1
Bedford County SO ,68676,2715.65,1865,2,13,6,13,2,234,545,3,0,187,507,43,25,87,14,3,388,84,1,14,0,0,0,20
State Police ,,,42,0,0,0,0,0,2,6,0,0,0,7,1,0,15,0,0,2,11,0,0,0,0,0,4
Bland County SO ,6824,967.17,66,0,0,0,0,1,2,13,0,0,12,19,1,0,2,0,1,18,13,0,0,0,0,0,3
State Police ,,,15,0,0,0,0,0,2,1,0,0,1,6,0,1,0,0,0,0,6,0,0,0,0,0,0
Botetourt County SO ,33148,2847.83,944,0,1,2,9,3,21,208,4,0,86,252,17,26,48,5,2,168,184,3,1,0,1,0,14
State Police ,,,25,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,19,0,0,0,0,0,1
Brunswick County SO ,15996,1875.46,300,0,0,3,6,0,15,54,0,1,46,64,17,4,12,3,3,63,46,0,0,0,0,0,14
State Police ,,,7,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,4,0,0,0,0,0,1
Buchanan County SO ,23077,3869.65,893,3,3,5,18,2,22,275,1,0,119,279,21,17,41,3,20,131,50,0,1,0,0,0,25
State Police ,,,55,0,0,0,0,0,1,5,3,0,4,20,1,5,9,0,1,6,13,0,0,0,0,0,0
Buckingham County SO ,17146,3079.43,528,0,2,5,9,3,20,138,2,0,76,117,13,8,7,2,8,120,89,3,2,0,0,0,11
State Police ,,,16,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,1,11,0,0,0,0,0,0
Campbell County SO ,50280,3249.8,1634,2,14,12,28,9,47,474,4,0,160,522,41,29,61,10,0,273,94,0,5,1,0,0,42
State Police ,,,38,0,0,0,0,0,2,1,0,0,0,3,0,0,8,1,0,2,19,0,0,0,0,0,2
Caroline County SO ,27434,3823.72,1049,0,11,9,18,10,26,299,10,0,65,340,23,10,42,5,3,166,87,1,2,0,1,0,36
State Police ,,,37,0,0,0,0,0,0,2,2,0,0,3,4,4,7,0,0,3,15,0,0,0,0,0,0
Carroll County SO ,27361,2953.1,808,1,2,7,8,3,17,223,5,0,126,281,32,8,21,3,0,153,28,0,0,0,0,0,29
State Police ,,,36,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,0,0,30,0,0,0,0,0,0
Charles City County SO ,7256,1226.57,89,0,0,3,1,0,4,32,0,0,10,20,4,0,2,1,0,14,3,0,0,0,0,0,4
State Police ,,,6,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Charlotte County SO ,12586,2812.64,354,0,1,1,4,2,10,143,0,0,23,87,12,7,6,1,1,43,65,1,1,0,0,0,7
State Police ,,,47,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,41,0,0,0,0,0,1
Clarke County SO ,9849,2974.92,293,0,2,1,1,1,16,68,1,0,22,120,3,3,16,2,5,41,28,0,0,0,0,0,10
State Police ,,,17,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,14,0,0,0,0,0,0
Craig County SO ,5190,1194.6,62,0,0,0,0,0,0,26,0,0,10,8,0,3,0,0,0,4,7,0,1,0,0,0,3
State Police ,,,55,0,0,0,1,0,0,0,0,0,0,4,0,0,5,0,0,1,44,0,0,0,0,0,0
Culpeper County SO ,30310,2672.38,810,0,6,4,8,1,16,284,2,1,79,213,23,5,33,13,3,156,88,0,1,0,0,0,17
State Police ,,,175,0,0,0,0,0,5,1,0,0,1,2,0,0,7,0,1,1,155,0,0,0,0,0,4
Cumberland County SO ,10052,1631.51,164,0,0,0,2,2,10,73,2,0,16,18,6,0,4,0,1,17,22,0,1,0,0,0,5
State Police ,,,9,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0
Dickenson County SO ,13991,3080.55,431,1,3,0,7,0,14,86,2,0,40,129,9,16,16,2,3,80,50,0,0,0,0,0,11
State Police ,,,22,0,0,0,3,0,0,0,1,0,0,3,1,1,9,0,0,0,7,0,0,0,0,0,2
Dinwiddie County SO ,28001,3967.71,1111,1,7,9,27,8,32,203,4,0,138,331,55,18,63,6,5,142,197,1,2,0,0,0,40
State Police ,,,36,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,32,0,0,0,0,0,1
Essex County SO ,8776,1663.62,146,0,0,1,0,0,4,57,3,0,5,40,3,2,4,0,0,34,15,0,0,0,1,0,7
State Police ,,,11,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
Fauquier County SO ,54994,3416.73,1879,0,10,13,31,5,25,457,3,1,110,453,36,29,131,5,8,412,352,1,4,0,0,0,34
State Police ,,,114,0,0,0,0,0,1,2,0,0,0,5,0,1,1,0,1,1,102,0,0,0,0,0,2
Floyd County SO ,15279,2022.38,309,0,0,4,1,1,6,59,4,0,47,107,9,10,10,3,1,51,14,0,1,0,0,0,4
State Police ,,,34,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,31,0,0,0,0,0,1
Fluvanna County SO ,25691,2475.57,636,0,0,1,8,1,15,169,3,0,48,200,16,3,40,1,1,143,51,0,2,0,0,0,9
State Police ,,,22,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,15,0,0,0,0,0,1
Franklin County SO ,51360,2036.6,1046,2,1,9,12,3,20,125,1,1,114,457,42,21,34,5,1,203,109,0,2,0,0,0,17
State Police ,,,57,0,0,0,0,0,0,0,0,0,0,8,2,0,12,2,0,0,32,0,0,0,0,0,0
Frederick County SO ,75211,4209.49,3166,1,7,45,31,22,28,1054,3,4,301,1053,88,54,122,14,10,639,175,5,7,0,0,0,44
State Police ,,,162,1,0,0,1,0,0,2,0,0,0,2,2,1,2,0,0,13,138,1,0,0,0,0,4
Giles County SO ,10454,4151.52,434,0,3,1,6,1,10,93,0,0,27,116,6,10,14,1,1,61,136,0,1,0,0,0,9
State Police ,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Gloucester County SO ,36858,3166.2,1167,0,4,5,0,2,11,395,3,1,80,508,14,9,53,6,0,127,55,0,2,0,0,0,12
State Police ,,,114,0,0,0,0,0,0,0,0,0,0,4,1,0,5,0,0,0,105,0,0,0,0,0,1
Goochland County SO ,21717,2173.41,472,2,0,2,4,2,17,87,2,0,38,172,5,11,49,2,0,87,47,1,2,0,0,0,14
State Police ,,,33,0,0,0,0,0,1,0,0,0,0,1,0,0,3,2,0,1,34,0,0,0,0,0,0
Grayson County SO ,14102,2510.28,354,0,2,3,3,0,17,80,4,0,29,84,6,3,16,2,0,66,74,0,3,0,0,0,22
State Police ,,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
Greene County SO ,18403,3716.78,684,0,5,4,5,2,44,220,2,0,33,201,11,2,18,6,0,188,51,0,0,0,0,0,11
State Police ,,,57,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,58,0,0,0,0,0,1
Greensville County SO ,12243,2866.94,351,0,2,0,2,5,13,66,0,0,50,89,10,2,5,0,0,65,70,0,0,0,0,0,7
State Police ,,,17,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,16,0,0,0,0,0,1
Halifax County SO ,26790,3348.26,897,1,3,10,16,8,16,194,5,0,134,288,46,11,28,0,0,213,50,1,0,0,0,0,26
State Police ,,,136,0,0,0,0,0,0,0,0,0,0,7,1,1,3,0,0,3,118,0,0,0,0,0,4
Hanover County SO ,92638,2627.43,2434,1,4,9,25,7,36,648,1,1,122,757,63,50,157,13,33,361,418,2,7,1,0,1,45
State Police ,,,111,0,0,0,0,0,0,5,2,0,1,1,2,2,48,0,1,1,68,0,0,0,0,0,7
Henry County SO ,54151,4238.14,2295,6,9,6,16,27,119,487,3,1,293,709,66,66,130,13,1,304,232,0,2,0,4,0,71
State Police ,,,39,1,0,0,0,0,0,0,0,0,0,2,2,0,12,0,0,0,23,0,0,0,0,0,3
