COUNTY TOTAL,9163,8093,1070,2224
OTHER AGENCY TOTAL,2745,2520,225,996
CITY TOTAL,5877,5093,784,1445
COLLEGE AND UNIVERSITY TOTAL,595,493,102,345
STATE TOTAL,18380,16199,2181,5010
