Agency,Total Sworn Officers,Officers Male,Officers Female,Total Civilian
COLLEGE & UNIVERSITY,,,,
Christopher Newport U. PD,17,15,2,7
Emory & Henry College PD,2,2,,2
Ferrum College PD,7,6,1,1
George Mason Univ. PD,48,38,10,19
Hampton University PD,29,25,4,18
James Madison Univ. PD,30,28,2,8
J Sargeant Reynolds C.C. PD,17,13,4,14
Longwood University PD,15,14,1,6
Norfolk State University PD,24,17,7,13
Northern Virginia C.C. PD,45,40,5,1
Old Dominion University PD,47,38,9,11
Radford University PD,21,17,4,6
Richard Bland College PD,7,7,,
Thomas Nelson College PD,9,7,2,2
U. of Mary Washington PD,12,10,2,5
University of Richmond PD,19,16,3,13
University of Virginia PD,51,37,14,68
UVA's College at Wise PD,8,7,1,1
Va. Commonwealth U. PD,82,68,14,108
Va. Military Institute PD,10,9,1,
Virginia State University PD,21,15,6,14
Virginia Tech University PD,48,40,8,23
Virginia Western C.C. PD,8,8,,
William & Mary College PD,18,16,2,5
COLLEGE AND UNIVERSITY TOTAL,595,493,102,345
