Group B Offense Categories,Male,Female,"Rate per 100,000 Inhabitants"
Bad Checks,1182,1657,35.48
Curfew/Loitering/Vagrancy Violations ,2012,965,37.21
Disorderly Conduct ,3975,1739,71.42
Driving Under the Influence ,22642,6749,367.34
Drunkenness ,29324,5813,439.16
"Family Offenses, Nonviolent ",1574,518,26.15
Liquor Law Violations ,10209,3687,173.68
Peeping Tom,54,4,0.72
Runaway,1573,1923,43.69
Trespass of Real Property,9387,2192,144.72
Conspiracy to Commit Group A Offense,68,19,1.09
All Other Offenses (except most traffic),81601,28617,1377.55
Total ,163601,53883,2718.2
