Time of Offense,Percentage of Robberies
Midnight - 5:59 a.m.,23.50%
6:00 a.m. - 11:59 a.m.,9.70%
Noon - 5:59 p.m.,18.80%
6:00 p.m. - 11:59 p.m.,47.70%
Unknown,0.30%
