Month ,Stolen ,Recovered ,Percent Recovered
January ,"22,462,474","4,745,819",21.1
February ,"19,522,077","4,010,220",20.5
March ,"23,479,623","4,134,698",17.6
April ,"22,721,651","4,282,862",18.9
May ,"22,514,054","4,007,777",17.8
June ,"22,968,128","4,652,637",20.3
July ,"35,009,328","6,466,396",18.5
August ,"25,169,711","4,278,744",17
September ,"21,917,791","3,940,526",18
October ,"28,070,727","5,504,726",19.6
November ,"23,532,195","4,012,979",17.1
December ,"24,574,787","3,297,062",13.4
TOTAL ,"$291,942,546","$53,334,446",18.3
