Religious Bias,Total
Anti-Jewish,17
Anti-Catholic,1
Anti-Protestant,2
Anti-Islamic,4
Anti-Other Religion ,0
Anti-Multi-Religious Group ,3
Anti-Atheist/Agnostic ,0
