Classification,Number of Offenses
Pocket Picking,386
Purse Snatching,245
Shoplifting,27736
Theft From Building,19808
Theft From Coin-Operated Machine or Device,445
Theft From Motor Vehicles,36879
Theft of Motor Vehicle Parts & Accessories,13623
All Other Larceny,48822
Total,147944
