Location,Number
Air/Bus/Train Terminal,4
Bank/Savings & Loan,3
Bar/Night Club,6
Church/Synagogue/Temple,4
Commercial/Office Building,14
Construction Site,1
Convenience Store,22
Department/Discount Store,11
Drug Store/Dr Office/Hospital,2
Field/Woods,13
Government/Public Building,8
Grocery/Supermarket,4
Highway/Road/Alley,187
Hotel/Motel/Etc.,55
Jail/Penitentiary,3
Lake/Waterway,2
Liquor Store,1
Parking Lot/Garage,88
Rental/Storage Facility,1
Residence/Home,897
Restaurant,12
School/College,23
Service/Gas Station,2
Specialty Store,9
Other/Unknown,44
