Offenses,18,19,20,21,22,23,24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65 & Over,Total
Bad Checks,17,32,36,73,48,80,81,399,460,448,424,301,204,110,61,59,2833
Curfew/Loitering/Vagrancy ,10,5,2,5,9,23,3,21,15,13,31,31,41,18,5,2,234
Disorderly Conduct ,314,259,278,320,264,219,221,731,521,375,313,319,186,117,55,46,4538
Driving Under the Influence ,413,683,829,1345,1279,1333,1287,5441,3868,2893,2929,2761,2005,1161,570,429,29226
Drunkenness ,821,1028,1114,1681,1556,1363,1331,5350,3807,2998,3776,4236,3241,1643,640,323,34908
"Family Offenses, Nonviolent ",18,24,29,43,60,66,65,406,362,293,254,218,118,58,14,7,2035
Liquor Laws ,2394,2490,2076,330,257,217,185,709,485,457,513,567,577,317,108,81,11763
Peeping Tom ,0,0,2,2,1,1,1,7,9,6,7,6,5,5,2,0,54
Runaway*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trespass of Real Property ,789,683,632,612,484,443,373,1471,975,764,781,962,814,450,191,157,10581
Conspiracy to Commit Group A Offense ,8,10,4,4,3,2,3,16,6,8,9,6,3,1,1,1,85
All Other Offenses (except most traffic) ,3108,3833,4322,4671,4233,4210,3928,17594,13565,11034,10475,9212,6261,3493,1770,1644,103353
TOTAL,7892,9047,9324,9086,8194,7957,7478,32145,24073,19289,19512,18619,13455,7373,3417,2749,199610
* This category does not apply to adult arrests. ,,,,,,,,,,,,,,,,,
