Location,Total Offenses
Air/Bus/Train Terminal,1
Bank/Savings and Loan,0
Bar/Night Club,2
Church/Synagogue/Temple,9
Commercial/Office Building,19
Construction Site,7
Convenience Store,4
Department/Discount Store,9
Drug Store/Dr Office/Hospital,2
Field/Woods,123
Government/Public Building,25
Grocery/Supermarket,9
Highway/Road/Alley,140
Hotel/Motel/Etc.,6
Jail/Prison,1
Lake/Waterway,1
Liquor Store,0
Parking Lot/Garage,86
Rental Storage Facility,3
Residence/Home,591
Restaurant,11
School/College,83
Service/Gas Station,2
Specialty Store,10
Other/Unknown,90
Total,1234
