Cities and State Police,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Alexandria PD ,139966,4621.12,6468,2,29,21,14,125,128,1301,7,0,315,2778,283,68,366,41,104,1383,471,3,1,6,12,1,51
State Police ,,,11,0,0,0,0,0,0,1,0,0,0,1,1,0,3,0,0,1,4,0,0,0,0,0,0
Bedford PD ,6222,9707.48,604,0,2,0,0,4,11,178,1,0,22,196,3,18,20,0,2,123,76,0,0,0,0,0,15
State Police ,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0
Bristol PD ,17835,8253.43,1472,1,5,11,17,10,38,285,5,0,90,491,21,48,106,7,3,213,213,1,3,2,4,0,26
State Police ,,,7,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,1
Buena Vista PD6 ,6650,1022.55,68,0,0,0,3,0,1,13,0,0,0,21,3,1,2,4,0,11,11,0,1,0,0,0,0
State Police ,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Charlottesville PD ,43475,9221.39,4009,3,12,29,47,52,113,1022,5,0,166,1461,85,22,162,17,4,996,363,0,48,0,4,1,67
State Police ,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Chesapeake PD ,222209,7222.02,16048,9,67,26,95,276,565,4824,23,5,1180,6177,385,209,997,123,42,1842,1679,2,9,0,52,0,293
State Police ,,,59,1,0,0,0,0,5,1,0,0,0,2,21,3,11,0,0,0,14,0,0,0,1,0,5
Colonial Heights PD ,17411,9551.43,1663,0,15,1,12,20,23,298,7,0,73,696,28,53,108,42,12,190,252,1,2,0,1,0,29
State Police ,,,42,0,0,0,0,0,0,0,0,0,0,2,0,0,27,0,0,0,14,0,0,0,0,0,0
Covington PD ,5961,8119.44,484,1,6,1,3,2,8,157,1,0,29,171,10,6,10,3,1,119,17,0,1,0,0,0,16
State Police ,,,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,1
Danville PD ,43055,12497.96,5381,8,12,21,20,60,85,1483,13,0,542,1582,66,78,242,20,0,978,568,1,2,10,7,1,163
State Police ,,,14,0,0,0,0,0,1,0,0,0,0,0,1,1,9,1,0,0,2,0,0,0,0,0,0
Emporia PD ,5927,14307.4,848,1,2,2,3,8,20,193,2,0,59,261,13,50,14,4,4,181,113,0,0,0,0,0,15
State Police ,,,9,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,5,0,0,0,0,0,0
Fairfax PD ,22565,5162.86,1165,0,4,6,16,12,17,284,2,1,27,501,34,3,60,13,0,170,68,0,2,0,1,0,7
State Police ,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Falls Church PD ,12332,4873.49,601,0,2,1,8,6,6,84,0,0,19,272,24,7,38,1,2,139,48,0,0,0,0,0,4
State Police ,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
Franklin PD ,8582,13982.75,1200,1,6,7,7,11,19,289,6,0,131,385,14,46,23,3,3,314,89,0,0,0,1,0,33
