Group B Offense Categories,Total,White,Black,American Indian/Alaskan Native,Asian/Pacific Islander
Bad Checks ,2839,2042,774,1,22
Curfew/Loitering/Vagrancy Violations ,2977,1432,1521,,24
Disorderly Conduct ,5714,2594,3075,4,41
Driving Under the Influence ,29391,22448,6365,29,549
Drunkenness ,35137,25654,9120,25,338
"Family Offenses, Nonviolent ",2092,805,1271,1,15
Liquor Law Violations ,13896,10691,2980,16,209
Peeping Tom ,58,43,15,,
Runaway,3496,1665,1789,1,41
Trespass of Real Property ,11579,5104,6343,5,127
Conspiracy to Commit Group A Offense ,87,54,31,,2
All Other Offenses (except most traffic) ,110218,63132,46033,63,990
Total ,217484,135664,79317,145,2358
