Date,Street Address,Number,Notes
7/1/2014,S. Resort Blvd.,3,
7/1/2014,Orcutt Ave.,1,
7/2/2014,W. Pembroke Ave.,1,DOA
7/2/2014,North Park Lane,1,
7/2/2014,Orcutt Ave.,1,
7/2/2014,W. Pembroke Ave.,1,DOA
7/2/2014,North Park Lane,1,
7/2/2014,Highland Ave.,1,
7/3/2014,58th/Aberdeen Rd.,1,DOA
7/3/2014,Jasmine St.,1,
7/4/2014,Caldwell Dr.,1,
7/5/2014,Orcutt Ave.,1,
7/5/2014,Riley Dr.,1,
7/6/2014,Bell St.,1,
7/6/2014,N. Armistead Ave.,1,
7/8/2014,Kinsmen Way,1,
7/8/2014,Todds Lane,2,
7/8/2014,Tulip St.,1,
7/8/2014,Prince George Dr.,1,
7/9/2014,Prince George Dr.,2,
7/9/2014,Thomas Nelson Dr.,1,
7/9/2014,Bickfield Dr.,1,
7/10/2014,Hampton Roads Ave.,3,
7/10/2014,Newport News Ave.,1,DOA
7/10/2014,N. King St.,1,
7/10/2014,Prince George Dr.,2,
7/11/2014,Kinsmen Way,5,
7/11/2014,Atlantic Ave.,1,
7/11/2014,Apple Ave.,2,
7/12/2014,Prince George Dr.,1,
7/13/2014,Prince George Dr.,1,
7/13/2014,Decesare Dr.,1,
7/13/2014,Seward Dr.,1,
7/13/2014,Todds Lane,1,
7/14/2014,Elliot Pl.,1,
7/14/2014,EVC,3,
7/14/2014,George Washington Mem. Hwy.,3,
7/14/2014,Richard Ave.,1,
7/15/2014,Prince George Dr.,1,
7/15/2014,Todds Lane,1,
7/15/2014,Sesco Dr.,1,
7/15/2014,Darville Dr.,1,
7/15/2014,Applewood Dr.,3,
7/15/2014,19th St.,1,
7/15/2014,Prince George Dr.,1,
7/15/2014,Cunningham Dr.,1,
7/16/2014,Willow Rd.,1,
7/16/2014,Shoreline Dr.,1,
7/17/2014,W. Sewell Dr.,1,
7/17/2014,Homestead Ave.,1,
7/18/2014,Atlantic Ave.,2,
7/18/2014,Todds Lane,2,
7/18/2014,Jasmine St.,2,
7/19/2014,Lafayette Rd.,1,
7/19/2014,Kathann Dr.,1,
7/19/2014,Kinsmen Way,1,
7/19/2014,Armstrong Dr.,3,
7/19/2014,Grimes Rd.,1,
7/19/2014,Atlantic Ave.,1,
7/19/2014,N. Armistead Ave./Convention Center,1,DOA
7/21/2014,Armstrong Dr.,3,
7/20/2014,Big Bethel Pl.,1,
7/20/2014,Grimes Rd.,1,
7/20/2014,S. Mallory St.,1,DOA
7/21/2014,S. Mallory St.,1,DOA
7/21/2014,Mercury/ I 64,1,
7/22/2014,Big Bethel Pl.,1,
7/22/2014,Lena Cir.,1,
7/22/2014,N. Second St.,2,
7/23/2014,N. Second St.,1,
7/23/2014,Lena Cir.,1,
7/23/2014,Lena Cir.,2,
7/23/2014,Lemaster Ave.,1,
7/23/2014,Lynnhaven Dr.,1,
7/24/2014,Prince George Dr.,1,
7/24/2014,Lynnhaven Dr.,1,
7/25/2014,Oldpoint Ave.,1,DOA
7/25/2014,Freed Vet,1,
7/26/2014,N. King St.,1,
7/26/2014,Harwin Dr.,1,
7/26/2014,Merchant Ln.,1,
7/26/2014,N. Second St.,1,
7/27/2014,Potomac Ave.,1,
7/27/2014,N. Armistead Ave/W. Mercury Blvd,1,DOA
7/28/2014,Cameo Dr.,1,
7/28/2014,Tupelo Cir.,1,
7/28/2014,Lee St.,4,
7/29/2014,Cardiff St.,1,
7/29/2014,Jasmine St.,1,
7/29/2014,Peabody Dr.,2,
7/31/2014,Kinsmen Way,1,
7/31/2014,Big Bethel Rd/ Old Big Bethel,2,
7/31/2014,Horsley Drive,1,
